work_cid,target_title,plan_before_title,current_title,final_title,manager_name,status,reason,missing_required_fields,stuffed_fields,get_status,put_status,server_message,server_body
323032,[정산정보없음]_러브 바이트[봄툰KR],러브 바이트[봄툰KR],러브 바이트[봄툰KR],[정산정보없음]_러브 바이트[봄툰KR],허은지,updated,verified_after_reload,"mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
110951,[정산정보없음]_[카카오창작지원금] 가짜 후궁,[카카오창작지원금] 가짜 후궁,[카카오창작지원금] 가짜 후궁,[정산정보없음]_[카카오창작지원금] 가짜 후궁,김인희,updated,verified_after_reload,"mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
110957,[정산정보없음]_[카카오창작지원금] 그녀를 탐하다,[카카오창작지원금] 그녀를 탐하다,[카카오창작지원금] 그녀를 탐하다,[정산정보없음]_[카카오창작지원금] 그녀를 탐하다,김인희,updated,verified_after_reload,"mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
110963,"[정산정보없음]_[카카오창작지원금] 떨어지는 꽃잎, 흩어지는 칼","[카카오창작지원금] 떨어지는 꽃잎, 흩어지는 칼","[카카오창작지원금] 떨어지는 꽃잎, 흩어지는 칼","[정산정보없음]_[카카오창작지원금] 떨어지는 꽃잎, 흩어지는 칼",김인희,updated,verified_after_reload,"mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
110976,[정산정보없음]_[카카오창작지원금] 야래향의 거울,[카카오창작지원금] 야래향의 거울,[카카오창작지원금] 야래향의 거울,[정산정보없음]_[카카오창작지원금] 야래향의 거울,김인희,updated,verified_after_reload,"mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
110977,[정산정보없음]_[카카오창작지원금] 어느 매분구의 은밀한 이중생활,[카카오창작지원금] 어느 매분구의 은밀한 이중생활,[카카오창작지원금] 어느 매분구의 은밀한 이중생활,[정산정보없음]_[카카오창작지원금] 어느 매분구의 은밀한 이중생활,김인희,updated,verified_after_reload,"mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
110979,[정산정보없음]_[카카오창작지원금] 이미 넌 사랑,[카카오창작지원금] 이미 넌 사랑,[카카오창작지원금] 이미 넌 사랑,[정산정보없음]_[카카오창작지원금] 이미 넌 사랑,김인희,updated,verified_after_reload,"mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
110985,[정산정보없음]_[카카오창작지원금] 중전마마의 야릇한 사정,[카카오창작지원금] 중전마마의 야릇한 사정,[카카오창작지원금] 중전마마의 야릇한 사정,[정산정보없음]_[카카오창작지원금] 중전마마의 야릇한 사정,김인희,updated,verified_after_reload,"mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
110990,[정산정보없음]_[카카오창작지원금] 키스까지 한순간,[카카오창작지원금] 키스까지 한순간,[카카오창작지원금] 키스까지 한순간,[정산정보없음]_[카카오창작지원금] 키스까지 한순간,김인희,updated,verified_after_reload,"mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
111203,[정산정보없음]_We're Nobody,We're Nobody,We're Nobody,[정산정보없음]_We're Nobody,김인희,updated,verified_after_reload,"mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
111967,[정산정보없음]_낙하산과 클레오파트라,낙하산과 클레오파트라,낙하산과 클레오파트라,[정산정보없음]_낙하산과 클레오파트라,김인희,updated,verified_after_reload,"mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
112284,[정산정보없음]_다시 사랑,다시 사랑,다시 사랑,[정산정보없음]_다시 사랑,김인희,updated,verified_after_reload,"mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
112815,[정산정보없음]_리아의 계약,리아의 계약,리아의 계약,[정산정보없음]_리아의 계약,김인희,updated,verified_after_reload,"mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
113689,[정산정보없음]_사막의 남자,사막의 남자,사막의 남자,[정산정보없음]_사막의 남자,김인희,updated,verified_after_reload,"mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
114630,[정산정보없음]_열풍[무삭제판],열풍[무삭제판],열풍[무삭제판],[정산정보없음]_열풍[무삭제판],김인희,updated,verified_after_reload,"mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
115001,[정산정보없음]_이방인의 청혼,이방인의 청혼,이방인의 청혼,[정산정보없음]_이방인의 청혼,김인희,updated,verified_after_reload,"mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
116297,[정산정보없음]_헤어드레서(19금 개정본),헤어드레서(19금 개정본),헤어드레서(19금 개정본),[정산정보없음]_헤어드레서(19금 개정본),김인희,updated,verified_after_reload,"mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
160069,[정산정보없음]_잔다르크,잔다르크,잔다르크,[정산정보없음]_잔다르크,김인희,updated,verified_after_reload,"svcTyCd,mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
160076,[정산정보없음]_지니 의남자들,지니 의남자들,지니 의남자들,[정산정보없음]_지니 의남자들,김인희,updated,verified_after_reload,"svcTyCd,mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
160079,[정산정보없음]_달이가득차오를때,달이가득차오를때,달이가득차오를때,[정산정보없음]_달이가득차오를때,김인희,updated,verified_after_reload,"svcTyCd,mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
160091,[정산정보없음]_시간의기억,시간의기억,시간의기억,[정산정보없음]_시간의기억,김인희,updated,verified_after_reload,"svcTyCd,mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
160151,[정산정보없음]_소설황당무계,소설황당무계,소설황당무계,[정산정보없음]_소설황당무계,김인희,updated,verified_after_reload,"svcTyCd,mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
160192,[정산정보없음]_열정시대,열정시대,열정시대,[정산정보없음]_열정시대,김인희,updated,verified_after_reload,"svcTyCd,mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
160278,[정산정보없음]_시아버지권,시아버지권,시아버지권,[정산정보없음]_시아버지권,김인희,updated,verified_after_reload,"svcTyCd,mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
160281,[정산정보없음]_이모의유혹권,이모의유혹권,이모의유혹권,[정산정보없음]_이모의유혹권,김인희,updated,verified_after_reload,"svcTyCd,mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
160286,[정산정보없음]_교수님과하룻밤을보낼거야,교수님과하룻밤을보낼거야,교수님과하룻밤을보낼거야,[정산정보없음]_교수님과하룻밤을보낼거야,김인희,updated,verified_after_reload,"mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
160317,[정산정보없음]_SEX실전테크닉,SEX실전테크닉,SEX실전테크닉,[정산정보없음]_SEX실전테크닉,김인희,updated,verified_after_reload,"svcTyCd,mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
160328,[정산정보없음]_그놈의달콤한키스는슬프고도아름다운유혹,그놈의달콤한키스는슬프고도아름다운유혹,그놈의달콤한키스는슬프고도아름다운유혹,[정산정보없음]_그놈의달콤한키스는슬프고도아름다운유혹,김인희,updated,verified_after_reload,"svcTyCd,mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
160330,[정산정보없음]_야생녀 내 여자 만들기,야생녀 내 여자 만들기,야생녀 내 여자 만들기,[정산정보없음]_야생녀 내 여자 만들기,김인희,updated,verified_after_reload,"svcTyCd,mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
160332,[정산정보없음]_그여자의숲,그여자의숲,그여자의숲,[정산정보없음]_그여자의숲,김인희,updated,verified_after_reload,"svcTyCd,mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
160333,[정산정보없음]_홀로서기,홀로서기,홀로서기,[정산정보없음]_홀로서기,김인희,updated,verified_after_reload,"svcTyCd,mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
160334,[정산정보없음]_그녀가돌아왔다,그녀가돌아왔다,그녀가돌아왔다,[정산정보없음]_그녀가돌아왔다,김인희,updated,verified_after_reload,"svcTyCd,mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
160336,[정산정보없음]_운명에게,운명에게,운명에게,[정산정보없음]_운명에게,김인희,updated,verified_after_reload,"svcTyCd,mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
160337,[정산정보없음]_7살차이,7살차이,7살차이,[정산정보없음]_7살차이,김인희,updated,verified_after_reload,"svcTyCd,mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
160340,[정산정보없음]_新채이와배우사이,新채이와배우사이,新채이와배우사이,[정산정보없음]_新채이와배우사이,김인희,updated,verified_after_reload,"svcTyCd,mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
160341,[정산정보없음]_신채이와배우사이,신채이와배우사이,신채이와배우사이,[정산정보없음]_신채이와배우사이,김인희,updated,verified_after_reload,"svcTyCd,mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
160342,[정산정보없음]_문득,문득,문득,[정산정보없음]_문득,김인희,updated,verified_after_reload,"svcTyCd,mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
160346,[정산정보없음]_운명을거부하는여자,운명을거부하는여자,운명을거부하는여자,[정산정보없음]_운명을거부하는여자,김인희,updated,verified_after_reload,"svcTyCd,mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
